first_name,last_name,city,student_id,primary_phone_number,shop,year_of_graduation,counselor_id
Yvonne,Stanton,Winooski,1078,781-786-0309,Precision Machining,2014,101
Calista,Simpson,Sedalia,1079,781-211-1008,Computer IT,2012,103
Anika,Lawson,Myrtle Beach,1080,781-697-7759,Welding & Metal Fab,2012,101
Serina,Justice,Fort Collins,1081,781-866-8124,Cosmetology,2015,103
Grant,Vasquez,Edmond,1082,781-713-5563,Drafting,2015,104
Thomas,Ramos,Reading,1083,781-440-7324,Drafting,2016,103
Keely,Brewer,Lynn,1084,781-779-6470,Welding & Metal Fab,2014,101
Lilah,Rose,Mandan,1085,781-768-2749,Graphic Communications,2014,108
Dexter,Hodge,Eureka,1086,781-204-8895,Precision Machining,2014,104
Colt,Frye,Worland,1087,781-877-0202,Culinary Art,2012,108
Piper,Schmidt,Sharon,1088,781-132-2620,HVAC,2012,106
acqueline,Mcclain,Vancouver,1089,781-376-0550,Automotive,2013,103
Fleur,Cox,Kearns,1090,781-720-6899,Computer IT,2016,100
Wanda,Tran,Santa Barbara,1091,781-421-7453,Auto Body Collision Repair,2013,101
Petra,Franks,Perth Amboy,1092,781-226-0144,Carpentry,2014,106
Travis,Allison,Los Alamitos,1093,781-236-9630,Electrical,2016,100
Kermit,Goodman,Nenana,1094,781-291-0972,Culinary Art,2013,109
Zeph,Lyons,Dover,1095,781-252-7988,Allied Health,2014,100
Austin,Sawyer,Chicago,1096,781-610-6627,Precision Machining,2012,107
Berk,York,Durant,1097,781-253-2348,HVAC,2016,103
Inez,Barrera,Nashville,1098,781-422-4246,Auto Body Collision Repair,2016,102
Amelia,Mathews,Fort Wayne,1099,781-655-0514,Allied Health,2016,106
Malachi,Jarvis,Batavia,1100,781-142-1967,Carpentry,2014,105
Mariam,Long,Sister Bay,1101,781-334-9840,Graphic Communications,2015,104
Merrill,Klein,Holyoke,1102,781-409-9573,Computer IT,2013,100
Wilma,Davidson,Blacksburg,1103,781-795-3497,HVAC,2015,100
Channing,Johnson,Cypress,1104,781-372-2939,Culinary Art,2016,101
Quamar,Clemons,Revere,1105,781-697-8390,Carpentry,2014,105
Kato,Mitchell,Hopkinsville,1106,781-545-2638,Allied Health,2015,100
Abel,Parks,North Pole,1107,781-521-0855,Drafting,2014,102
Serina,Ward,Muskegon,1108,781-365-2317,Cosmetology,2016,103
Neve,Harding,Mayaguez,1109,781-388-1733,Carpentry,2014,100
Haley,Williams,Syracuse,1110,781-692-3375,Welding & Metal Fab,2014,104
Leo,Townsend,Biddeford,1111,781-330-6382,Graphic Communications,2013,106
Kellie,Guzman,Port Huron,1112,781-381-8710,Computer IT,2014,104
Barclay,Baker,Fullerton,1113,781-439-8761,Auto Body Collision Repair,2014,100
Davis,Mcgowan,Newark,1114,781-510-6239,Carpentry,2015,106
Xandra,Walter,Corona,1115,781-842-0085,Culinary Art,2012,108
Neve,Mcmillan,Pittsburgh,1116,781-633-5253,Computer IT,2013,101
Maggie,Patton,Bartlesville,1117,781-978-6352,Welding & Metal Fab,2013,108
Gloria,Wooten,Albuquerque,1118,781-621-2922,Electrical,2016,100
Keiko,Navarro,Norwalk,1119,781-684-9846,Auto Body Collision Repair,2012,101
Kelsey,Valdez,Johnson City,1120,781-884-3509,Computer IT,2013,105
Joelle,Velez,Murray,1121,781-397-8916,Allied Health,2015,100
Yasir,Ballard,Monrovia,1122,781-530-9362,Electrical,2016,108
Wade,Wooten,Grand Forks,1123,781-463-3697,Drafting,2015,105
Brandon,Logan,Gary,1124,781-141-0443,Allied Health,2014,101
Libby,Dean,Sugar Land,1125,781-494-5576,Electronic Engineering Technology,2015,104
Alvin,Conley,Lancaster,1126,781-775-3048,Automotive,2016,105
Montana,Pratt,Paramount,1127,781-640-6654,Allied Health,2014,107
Jonah,David,Huntington Park,1128,781-908-6852,Cosmetology,2013,109
Beverly,Guthrie,Steubenville,1129,781-685-1090,Welding & Metal Fab,2013,106
Aphrodite,Douglas,Kenosha,1130,781-253-2919,Automotive,2016,108
Ezekiel,Wise,Champaign,1131,781-737-7619,Electronic Engineering Technology,2014,100
Stacy,Hopper,Staunton,1132,781-126-4270,Electrical,2013,101
Elton,Gray,Hutchinson,1133,781-294-0331,Automotive,2013,100
Timothy,Carney,Calabasas,1134,781-443-6778,HVAC,2014,105
Charity,Lambert,Oneonta,1135,781-577-4988,Electronic Engineering Technology,2016,107
Igor,Chang,San Diego,1136,781-763-9194,Auto Body Collision Repair,2015,108
Callum,Daniel,Ada,1137,781-816-2340,Cosmetology,2015,101
Jerry,Hayes,Rocky Mount,1138,781-705-8356,Graphic Communications,2015,106
Brian,Price,Livonia,1139,781-356-7944,Precision Machining,2012,109
Larissa,Gross,Cary,1140,781-706-8811,Welding & Metal Fab,2015,104
Addison,Frazier,Fayetteville,1141,781-541-1728,Auto Body Collision Repair,2015,106
Alvin,Lopez,Birmingham,1142,781-424-3579,Allied Health,2013,102
Lysandra,Nelson,Duarte,1143,781-238-1895,Auto Body Collision Repair,2013,104
Jackson,Ochoa,Sun Valley,1144,781-800-4635,HVAC,2015,100
Summer,Benjamin,Racine,1145,781-141-4102,Computer IT,2012,102
Destiny,Sellers,Fallon,1146,781-662-5695,Drafting,2012,100
Leigh,Randolph,Carbondale,1147,781-284-4760,Auto Body Collision Repair,2013,103
Alexis,Sanchez,Kankakee,1148,781-194-5657,Electrical,2013,102
Cooper,Hopkins,Monroe,1149,781-168-0430,HVAC,2015,108
Cheyenne,Carlson,Salinas,1150,781-959-2952,Allied Health,2013,101
Edward,Higgins,West Bend,1151,781-816-0240,Automotive,2015,103
Risa,Navarro,Somersworth,1152,781-299-4482,Allied Health,2016,100
Gwendolyn,Beard,Chula Vista,1153,781-575-3434,Computer IT,2013,104
Baxter,Richard,Little Rock,1154,781-864-2757,Electrical,2015,101
Nomlanga,Irwin,West Springfield,1155,781-573-5584,Drafting,2012,105
Rhonda,Bauer,Charleston,1156,781-472-0125,HVAC,2015,101
Burke,Benjamin,DuBois,1157,781-727-5299,Graphic Communications,2013,102
Nina,Zimmerman,Torrington,1158,781-660-7734,Auto Body Collision Repair,2015,100
Tyrone,Chandler,Carbondale,1159,781-144-8433,Drafting,2016,105
Fuller,Knight,Valdosta,1160,781-719-6317,Cosmetology,2014,102
Tucker,French,Reedsport,1161,781-922-3719,Carpentry,2015,109
Tasha,Lewis,Kent,1162,781-916-8447,Automotive,2015,109
Mariam,Davidson,Placentia,1163,781-395-1490,Auto Body Collision Repair,2013,105
Oscar,Dorsey,McAlester,1164,781-294-7110,Computer IT,2012,106
Ruth,Hubbard,Ketchikan,1165,781-269-8959,Culinary Art,2016,107
Yen,Coleman,Manitowoc,1166,781-721-5666,Electrical,2016,102
Charlotte,Haley,Overland Park,1167,781-113-0387,Drafting,2013,105
Idona,Hickman,North Adams,1168,781-838-0751,Graphic Communications,2014,109
Quon,Rosario,Bakersfield,1169,781-905-3512,Computer IT,2016,106
Melyssa,Dickson,Valencia,1170,781-578-2581,Auto Body Collision Repair,2015,109
Maia,Swanson,East St. Louis,1171,781-278-8082,Graphic Communications,2012,100
Naomi,Ellison,Fulton,1172,781-691-2844,Graphic Communications,2012,100
Zena,Leach,Waterbury,1173,781-258-8824,Auto Body Collision Repair,2012,100
Eleanor,Delacruz,Santa Ana,1174,781-237-1872,Electronic Engineering Technology,2012,100
Adara,Hurley,Turlock,1175,781-549-7778,Welding & Metal Fab,2016,102
Graiden,Workman,Rock Springs,1176,781-417-3668,Welding & Metal Fab,2016,100
MacKenzie,Pate,Watertown,1177,781-361-6690,Drafting,2016,109
Zane,Wheeler,Mesa,1178,781-195-6659,Auto Body Collision Repair,2013,100
Colin,Herrera,Kansas City,1179,781-522-4284,Welding & Metal Fab,2015,100
Audra,Cote,Del Rio,1180,781-853-1975,HVAC,2016,102
Phyllis,Gates,Hamilton,1181,781-693-6165,Cosmetology,2016,104
Noble,Carney,Brunswick,1182,781-413-1477,Cosmetology,2012,101
Jolene,Melendez,Valdez,1183,781-643-3647,HVAC,2012,107
Nichole,Lynch,Midwest City,1184,781-767-2268,Drafting,2014,106
Charles,Boone,Niagara Falls,1185,781-823-5882,Carpentry,2016,105
Abel,Phelps,Asbury Park,1186,781-936-1329,Electrical,2014,101
Kyra,Barker,Pueblo,1187,781-392-2622,Culinary Art,2013,106
Zachary,Hyde,Carson,1188,781-982-4997,Welding & Metal Fab,2013,105
Demetrius,Hawkins,Webster Groves,1189,781-765-6065,Auto Body Collision Repair,2012,107
Harlan,Le,Lakeland,1190,781-270-3190,Cosmetology,2013,109
Murphy,Watts,Waco,1191,781-395-7408,Cosmetology,2016,107
Kay,Alvarado,Port Washington,1192,781-935-6259,Allied Health,2015,101
Katell,Lara,Lawrence,1193,781-341-8488,Auto Body Collision Repair,2014,105
Dustin,Osborne,Myrtle Beach,1194,781-847-3026,Carpentry,2015,106
Phoebe,Vega,Fulton,1195,781-738-9047,Precision Machining,2015,104
Wynne,Garner,Saukville,1196,781-703-5971,HVAC,2013,100
Courtney,Frank,Lynn,1197,781-699-5373,Culinary Art,2014,100
Hu,Barton,San Angelo,1198,781-837-0626,Electrical,2013,107
Elijah,Riley,Sandy,1199,781-328-6364,Electrical,2016,105
Tobias,Vasquez,West Jordan,1200,781-236-4047,Carpentry,2016,100
Mechelle,Mendoza,Biloxi,1201,781-955-8450,Precision Machining,2013,108
Amela,Fowler,Jeannette,1202,781-714-4753,Carpentry,2013,105
Linda,Fields,Tok,1203,781-957-9817,HVAC,2015,106
Pamela,Chapman,Lockport,1204,781-459-9889,Automotive,2016,109
Uriah,Serrano,Redlands,1205,781-353-9783,Cosmetology,2013,106
Brittany,Stevens,San Rafael,1206,781-376-1544,Auto Body Collision Repair,2013,108
Jarrod,Graves,Mount Pleasant,1207,781-561-6599,Auto Body Collision Repair,2015,100
Heather,Sampson,Logan,1208,781-112-5580,Automotive,2014,102
Yuli,Schmidt,Waukegan,1209,781-259-5346,Automotive,2013,104
Carson,Talley,Pembroke Pines,1210,781-238-1182,Carpentry,2016,100
Aspen,Kent,Pascagoula,1211,781-361-4586,Allied Health,2013,100
Garrett,Morris,Sutter Creek,1212,781-458-4056,Welding & Metal Fab,2016,104
Gage,Greene,Saint Cloud,1213,781-967-3256,Allied Health,2013,100
Serena,Yates,Madison,1214,781-299-5374,Precision Machining,2012,100
Prescott,Finch,Las Cruces,1215,781-254-9591,Allied Health,2015,100
Abbot,Dyer,Catskill,1216,781-741-4765,Graphic Communications,2016,106
Willa,Bentley,Athens,1217,781-989-9016,Graphic Communications,2016,105
Alika,Morse,Bridgeport,1218,781-147-9579,Precision Machining,2016,107
Aiko,Ward,Riverton,1219,781-892-8538,HVAC,2014,100
Jared,James,Jersey City,1220,781-141-1389,Culinary Art,2016,100
Sandra,Ferrell,Gettysburg,1221,781-273-6277,Cosmetology,2016,107
Keefe,French,Waco,1222,781-929-7429,Drafting,2012,104
Lucian,Key,Monrovia,1223,781-642-1711,Electronic Engineering Technology,2015,100
Laurel,Travis,Savannah,1224,781-192-6483,Computer IT,2015,100
Cara,Cannon,Ponce,1225,781-696-1841,Cosmetology,2016,108
Rafael,Norton,El Segundo,1226,781-732-8594,Welding & Metal Fab,2015,103
Isaiah,Hamilton,Nacogdoches,1227,781-134-8065,Electrical,2016,107
Willow,Buck,Hot Springs,1228,781-577-9139,Graphic Communications,2014,108
Wyoming,Pierce,Sturgis,1229,781-665-5890,Drafting,2014,108
Sophia,Morrow,Dixon,1230,781-200-1787,HVAC,2016,101
Raymond,Carney,Costa Mesa,1231,781-769-5327,Drafting,2016,100
Jordan,Blackburn,Enfield,1232,781-493-1158,Electrical,2015,100
Jamalia,Miranda,Mankato,1233,781-364-8672,Welding & Metal Fab,2012,100
Blythe,Cotton,West Palm Beach,1234,781-699-0543,HVAC,2015,109
Lynn,Rosa,Roseville,1235,781-988-0076,HVAC,2015,105
Connor,Callahan,Myrtle Beach,1236,781-184-6626,Allied Health,2012,103
Ciara,Tyler,Waukegan,1237,781-254-3604,Carpentry,2012,109
Zahir,Yates,Thousand Oaks,1238,781-701-9910,Computer IT,2014,103
Chloe,Aguirre,Calumet City,1239,781-219-1188,Welding & Metal Fab,2013,102
Molly,Blackwell,Auburn,1240,781-553-7548,Auto Body Collision Repair,2013,105
Mercedes,Martinez,Ocean City,1241,781-398-9984,Electrical,2016,101
Rachel,Gilbert,Idaho Falls,1242,781-659-2155,HVAC,2014,102
Uriel,Albert,Tallahassee,1243,781-580-3148,Auto Body Collision Repair,2013,105
Dorothy,Logan,Salisbury,1244,781-609-5080,Drafting,2016,104
Reece,Little,Phenix City,1245,781-472-7203,Culinary Art,2015,100
Wesley,Figueroa,Colorado Springs,1246,781-715-4729,HVAC,2012,102
Deirdre,Briggs,Seal Beach,1247,781-588-4001,Precision Machining,2014,100
Todd,Rocha,San Luis Obispo,1248,781-789-0985,Culinary Art,2015,102
Simone,Newton,Fernley,1249,781-312-1809,Cosmetology,2015,100
Kylan,Washington,Beverly,1250,781-262-0352,Cosmetology,2013,101
Jemima,Love,Liberal,1251,781-914-4156,Auto Body Collision Repair,2012,100
Otto,Santos,Oro Valley,1252,781-907-3622,Cosmetology,2016,103
Ima,Bradley,Woodward,1253,781-419-1950,Automotive,2016,100
Cody,Martinez,Thomasville,1254,781-752-1515,Cosmetology,2012,105
Kylee,Rodgers,Hawaiian Gardens,1255,781-862-0217,Drafting,2014,102
Carlos,Colon,Durham,1256,781-227-7016,Automotive,2013,101
Bianca,Patrick,Bethlehem,1257,781-723-9351,HVAC,2014,101
Hakeem,Barrett,Worcester,1258,781-630-7014,Automotive,2015,102
Tasha,Crane,Utica,1259,781-260-5791,Precision Machining,2013,108
Daniel,Benson,Redlands,1260,781-779-5087,Drafting,2016,103
Rhea,Reed,New Castle,1261,781-193-2019,Automotive,2015,100
Sloane,Stein,Manchester,1262,781-788-5545,Computer IT,2015,100
Lilah,Huffman,Roswell,1263,781-917-8925,Graphic Communications,2013,105
Amity,Dunn,Baldwin Park,1264,781-700-3482,Allied Health,2016,106
Candice,Cross,Rosemead,1265,781-152-0738,Drafting,2014,108
Lee,Wise,West Bend,1266,781-385-4034,Auto Body Collision Repair,2012,104
Raphael,Odom,Monongahela,1267,781-613-1124,Electronic Engineering Technology,2016,106
Sawyer,Davenport,Kearns,1268,781-238-9045,Computer IT,2015,102
Emi,Foley,Eugene,1269,781-618-4326,Culinary Art,2013,102
Baxter,Hess,Newburgh,1270,781-318-5402,Welding & Metal Fab,2013,101
Katell,Rodriguez,Fargo,1271,781-215-2515,Welding & Metal Fab,2014,103
Josephine,Griffith,Kettering,1272,781-765-2484,Computer IT,2014,105
Ingrid,Montoya,Santa Fe Springs,1273,781-600-1458,Electrical,2014,107
Jessica,Aguilar,Compton,1274,781-356-7153,Electrical,2015,102
Alisa,Malone,Morgantown,1275,781-402-8042,Auto Body Collision Repair,2014,106
Quemby,Sawyer,Mount Vernon,1276,781-447-4038,Precision Machining,2012,100
Noble,Gonzalez,Boulder City,1277,781-196-8722,Graphic Communications,2013,109
Aidan,Black,Areceibo,1278,781-209-8409,Welding & Metal Fab,2015,102
Yvette,Roy,Diamond Bar,1279,781-701-7119,HVAC,2013,102
Alden,Simpson,Evanston,1280,781-754-7375,HVAC,2013,103
Mechelle,Gregory,Steubenville,1281,781-250-1439,Drafting,2013,109
Kyra,Olson,Murrieta,1282,781-199-7378,Electronic Engineering Technology,2016,104
Murphy,Dominguez,Danbury,1283,781-860-3364,Electronic Engineering Technology,2013,107
Wylie,Tillman,Murrieta,1284,781-480-0028,Graphic Communications,2016,108
Joseph,Downs,Salisbury,1285,781-854-7401,HVAC,2012,104
Jackson,Rowe,Cary,1286,781-978-4962,Computer IT,2013,104
Zephr,Townsend,Bremerton,1287,781-595-9769,Automotive,2016,102
Cassady,Palmer,La Jolla,1288,781-108-0994,Graphic Communications,2014,102
Jescie,Benjamin,Brown Deer,1289,781-803-0770,Allied Health,2012,101
Patricia,Adams,Monterey Park,1290,781-247-6495,Precision Machining,2013,104
Nehru,Mcpherson,Santa Barbara,1291,781-969-7659,Electronic Engineering Technology,2012,102
Dominic,Galloway,Parkersburg,1292,781-761-4294,Welding & Metal Fab,2013,105
Imelda,Perkins,Warner Robins,1293,781-872-1188,Automotive,2015,105
Beau,Mercer,Corinth,1294,781-296-6664,Auto Body Collision Repair,2014,103
Rylee,Levine,Calumet City,1295,781-835-9971,Auto Body Collision Repair,2013,100
Bradley,Whitehead,Louisville,1296,781-537-2991,Computer IT,2015,100
Martha,Harvey,Highland Park,1297,781-474-4699,Electrical,2013,107
Marah,Bishop,Villa Park,1298,781-880-5249,Precision Machining,2013,104
Cameran,Snow,Beacon,1299,781-407-0169,Graphic Communications,2013,107
Demetrius,Levine,Minneapolis,1300,781-299-2706,Allied Health,2012,102
Dylan,Walls,Escondido,1301,781-829-1742,Auto Body Collision Repair,2016,106
Leroy,Barton,Agawam,1302,781-121-2141,Culinary Art,2016,100
Blossom,Miranda,Laguna Hills,1303,781-540-0400,Automotive,2013,102
Remedios,Ayers,Hartland,1304,781-593-6681,Automotive,2016,100
Vincent,Thompson,Davis,1305,781-414-1186,Electronic Engineering Technology,2016,106
Robin,Rivas,Port Huron,1306,781-376-1685,Culinary Art,2013,108
Duncan,Bowen,Pendleton,1307,781-902-7790,Graphic Communications,2014,104
Adele,Sanford,Missoula,1308,781-813-1101,Electrical,2013,102
Galvin,Donovan,Wichita Falls,1309,781-464-3492,Automotive,2015,103
Baxter,Burton,Cambridge,1310,781-633-9532,Welding & Metal Fab,2012,101
Aline,Wilson,Hartland,1311,781-576-6881,Culinary Art,2016,102
Baxter,Gonzales,Worcester,1312,781-241-1346,Culinary Art,2016,100
Piper,Rhodes,Vallejo,1313,781-871-8010,Cosmetology,2012,103
Craig,Pena,Easton,1314,781-352-9317,Precision Machining,2013,100
Jelani,Day,Newburyport,1315,781-739-9011,Allied Health,2016,101
Alexis,Green,Ventura,1316,781-568-9946,Carpentry,2014,105
Nicole,Robertson,Rutland,1317,781-379-3188,Electrical,2012,106
Mariko,Pearson,Las Cruces,1318,781-319-0973,Allied Health,2012,106
Eagan,Dudley,Fallon,1319,781-239-8131,Graphic Communications,2014,108
McKenzie,Wood,Hattiesburg,1320,781-809-1323,Computer IT,2015,101
Brady,Williamson,Palos Verdes Estates,1321,781-544-1489,Precision Machining,2014,103
Tyrone,Long,Fairfield,1322,781-323-3208,Welding & Metal Fab,2013,100
Maggie,Warren,Slidell,1323,781-251-0043,Electronic Engineering Technology,2016,106
Salvador,Whitehead,Bay St. Louis,1324,781-120-6198,Computer IT,2015,100
Frances,Glass,Newton,1325,781-512-3134,Drafting,2012,100
Melissa,Hampton,Mayaguez,1326,781-596-8323,Allied Health,2015,100
Shaine,Mcfadden,Wisconsin Dells,1327,781-970-5150,Electronic Engineering Technology,2016,105
Gage,Ford,New Kensington,1328,781-205-0659,Graphic Communications,2014,100
Raymond,Everett,Frederick,1329,781-518-8440,Allied Health,2013,107
Valentine,Watkins,Natchez,1330,781-156-8793,Auto Body Collision Repair,2015,109
Oprah,Puckett,Wheaton,1331,781-506-4924,Allied Health,2016,104
Kirsten,Moon,Riverton,1332,781-235-8054,Culinary Art,2016,103
Odessa,Nielsen,Hudson,1333,781-368-7259,Welding & Metal Fab,2016,102
Eleanor,Blackburn,Murrieta,1334,781-498-1523,HVAC,2014,103
Evan,Barry,Sonoma,1335,781-780-0963,Computer IT,2014,100
Bruce,Burris,Council Bluffs,1336,781-675-9736,Welding & Metal Fab,2013,104
Veronica,Velazquez,Lander,1337,781-344-4560,Welding & Metal Fab,2015,109
Nadine,Chambers,Gaithersburg,1338,781-447-3426,Precision Machining,2013,100
Lara,Hodges,Hawaiian Gardens,1339,781-312-9353,Auto Body Collision Repair,2013,106
Nathaniel,Hodge,Garden Grove,1340,781-173-5178,Electrical,2015,105
Carissa,Flores,Woodruff,1341,781-245-8989,Computer IT,2014,104
Uma,Adkins,Newark,1342,781-661-8910,Precision Machining,2015,100
Mark,Hebert,Las Vegas,1343,781-899-7954,Computer IT,2016,104
Hiram,Pacheco,Birmingham,1344,781-340-9958,Welding & Metal Fab,2012,109
Paul,Bullock,Vacaville,1345,781-403-7730,Precision Machining,2012,108
Dolan,Morrow,Henderson,1346,781-562-2715,Drafting,2015,106
Kimberly,Conway,Worland,1347,781-737-0914,Carpentry,2012,102
Garrison,Harper,High Point,1348,781-219-6394,Culinary Art,2015,104
Rama,Holder,Grand Forks,1349,781-355-6997,Graphic Communications,2014,109
Priscilla,Burgess,San Francisco,1350,781-772-5158,Precision Machining,2013,109
Sean,Mullins,Christiansted,1351,781-810-6283,Computer IT,2012,101
Davis,Taylor,Orlando,1352,781-425-2970,Auto Body Collision Repair,2013,100
Natalie,Dillon,Hickory,1353,781-824-1114,Carpentry,2015,105
Brielle,Blevins,Duquesne,1354,781-332-0558,Electrical,2015,104
Miriam,Marquez,Wichita,1355,781-524-5279,Graphic Communications,2015,105
Desirae,Chandler,Marshall,1356,781-489-0394,Culinary Art,2012,106
Tyler,Witt,Vineland,1357,781-474-6900,Drafting,2015,106
Tashya,Cotton,Grafton,1358,781-739-6380,Graphic Communications,2015,101
Breanna,Donaldson,Rock Island,1359,781-383-1068,HVAC,2014,100
Ishmael,Snyder,Lawrence,1360,781-955-0833,Carpentry,2013,109
Reece,Langley,Ypsilanti,1361,781-400-8958,Cosmetology,2014,100
Sophia,Alvarez,La Puente,1362,781-733-5839,Carpentry,2015,105
Demetrius,Casey,Nanticoke,1363,781-265-0607,Cosmetology,2016,103
Lydia,Ewing,Boulder,1364,781-286-4025,Precision Machining,2016,100
Sierra,Oneill,Rochester,1365,781-850-4716,Drafting,2016,102
Olivia,Morrison,Canandaigua,1366,781-941-7186,Allied Health,2015,107
